Samples,smpl_label,Barcodes,smpl_folder,Year,Month,State,site,Season_full,Season
S1605_1611VA_barcode01,1605_VAC1,barcode01,1605_1611VA,2016,5,VA,C1,Early summer,ES
S1605_1611VA_barcode02,1605_VAC2,barcode02,1605_1611VA,2016,5,VA,C2,Early summer,ES
S1605_1611VA_barcode03,1605_VAC3,barcode03,1605_1611VA,2016,5,VA,C3,Early summer,ES
S1605_1611VA_barcode04,1605_VAM1,barcode04,1605_1611VA,2016,5,VA,M1,Early summer,ES
S1605_1611VA_barcode05,1605_VAM2,barcode05,1605_1611VA,2016,5,VA,M2,Early summer,ES
S1605_1611VA_barcode06,1605_VAM3,barcode06,1605_1611VA,2016,5,VA,M3,Early summer,ES
S1605_1611VA_barcode07,1611_VAC1,barcode07,1605_1611VA,2016,11,VA,C1,Late fall,LF
S1605_1611VA_barcode08,1611_VAC2,barcode08,1605_1611VA,2016,11,VA,C2,Late fall,LF
S1605_1611VA_barcode09,1611_VAC3,barcode09,1605_1611VA,2016,11,VA,C3,Late fall,LF
S1605_1611VA_barcode10,1611_VAM1,barcode10,1605_1611VA,2016,11,VA,M1,Late fall,LF
S1605_1611VA_barcode11,1611_VAM2,barcode11,1605_1611VA,2016,11,VA,M2,Late fall,LF
S1605_1611VA_barcode12,1611_VAM3,barcode12,1605_1611VA,2016,11,VA,M3,Late fall,LF
S1705_CA_IL_NY_SC_barcode01,1705_CA1,barcode01,1705_CA_IL_NY_SC,2017,5,CA,CA1,Early summer,ES
S1705_CA_IL_NY_SC_barcode02,1705_CA2,barcode02,1705_CA_IL_NY_SC,2017,5,CA,CA2,Early summer,ES
S1705_CA_IL_NY_SC_barcode03,1705_CA3,barcode03,1705_CA_IL_NY_SC,2017,5,CA,CA3,Early summer,ES
S1705_CA_IL_NY_SC_barcode04,1705_IL1,barcode04,1705_CA_IL_NY_SC,2017,5,IL,IL1,Early summer,ES
S1705_CA_IL_NY_SC_barcode05,1705_IL2,barcode05,1705_CA_IL_NY_SC,2017,5,IL,IL2,Early summer,ES
S1705_CA_IL_NY_SC_barcode06,1705_IL3,barcode06,1705_CA_IL_NY_SC,2017,5,IL,IL3,Early summer,ES
S1705_CA_IL_NY_SC_barcode07,1705_NYNE,barcode07,1705_CA_IL_NY_SC,2017,5,NY,NYNE,Early summer,ES
S1705_CA_IL_NY_SC_barcode08,1705_NYNW,barcode08,1705_CA_IL_NY_SC,2017,5,NY,NYNW,Early summer,ES
S1705_CA_IL_NY_SC_barcode09,1705_NYSE,barcode09,1705_CA_IL_NY_SC,2017,5,NY,NYSE,Early summer,ES
S1705_CA_IL_NY_SC_barcode10,1705_SC1,barcode10,1705_CA_IL_NY_SC,2017,5,SC,SC1,Early summer,ES
S1705_CA_IL_NY_SC_barcode11,1705_SC2,barcode11,1705_CA_IL_NY_SC,2017,5,SC,SC2,Early summer,ES
S1705_CA_IL_NY_SC_barcode12,1705_SC3,barcode12,1705_CA_IL_NY_SC,2017,5,SC,SC3,Early summer,ES
S1705_VAC1_3_M1_3_1711CA1_3_IL1_3_barcode01,1705_VAC1,barcode01,1705_VAC1_3_M1_3_1711CA1_3_IL1_3,2017,5,VA,C1,Early summer,ES
S1705_VAC1_3_M1_3_1711CA1_3_IL1_3_barcode02,1705_VAC2,barcode02,1705_VAC1_3_M1_3_1711CA1_3_IL1_3,2017,5,VA,C2,Early summer,ES
S1705_VAC1_3_M1_3_1711CA1_3_IL1_3_barcode03,1705_VAC3,barcode03,1705_VAC1_3_M1_3_1711CA1_3_IL1_3,2017,5,VA,C3,Early summer,ES
S1705_VAC1_3_M1_3_1711CA1_3_IL1_3_barcode04,1705_VAM1,barcode04,1705_VAC1_3_M1_3_1711CA1_3_IL1_3,2017,5,VA,M1,Early summer,ES
S1705_VAC1_3_M1_3_1711CA1_3_IL1_3_barcode05,1705_VAM2,barcode05,1705_VAC1_3_M1_3_1711CA1_3_IL1_3,2017,5,VA,M2,Early summer,ES
S1705_VAC1_3_M1_3_1711CA1_3_IL1_3_barcode06,1705_VAM3,barcode06,1705_VAC1_3_M1_3_1711CA1_3_IL1_3,2017,5,VA,M3,Early summer,ES
S1705_VAC1_3_M1_3_1711CA1_3_IL1_3_barcode07,1711_CA1,barcode07,1705_VAC1_3_M1_3_1711CA1_3_IL1_3,2017,11,CA,CA1,Late fall,LF
S1705_VAC1_3_M1_3_1711CA1_3_IL1_3_barcode08,1711_CA2,barcode08,1705_VAC1_3_M1_3_1711CA1_3_IL1_3,2017,11,CA,CA2,Late fall,LF
S1705_VAC1_3_M1_3_1711CA1_3_IL1_3_barcode09,1711_CA3,barcode09,1705_VAC1_3_M1_3_1711CA1_3_IL1_3,2017,11,CA,CA3,Late fall,LF
S1705_VAC1_3_M1_3_1711CA1_3_IL1_3_barcode10,1711_IL1,barcode10,1705_VAC1_3_M1_3_1711CA1_3_IL1_3,2017,11,IL,IL1,Late fall,LF
S1705_VAC1_3_M1_3_1711CA1_3_IL1_3_barcode11,1711_IL2,barcode11,1705_VAC1_3_M1_3_1711CA1_3_IL1_3,2017,11,IL,IL2,Late fall,LF
S1705_VAC1_3_M1_3_1711CA1_3_IL1_3_barcode12,1711_IL3,barcode12,1705_VAC1_3_M1_3_1711CA1_3_IL1_3,2017,11,IL,IL3,Late fall,LF
S1711_NY_SC_VAC1_barcode01,1711_NYNE,barcode01,1711_NY_SC_VAC1,2017,11,NY,NYNE,Late fall,LF
S1711_NY_SC_VAC1_barcode02,1711_NYNW,barcode02,1711_NY_SC_VAC1,2017,11,NY,NYNW,Late fall,LF
S1711_NY_SC_VAC1_barcode03,1711_NYSE,barcode03,1711_NY_SC_VAC1,2017,11,NY,NYSE,Late fall,LF
S1711_NY_SC_VAC1_barcode04,1711_NY1,barcode04,1711_NY_SC_VAC1,2017,11,NY,NY1,Late fall,LF
S1711_NY_SC_VAC1_barcode05,1711_NY2,barcode05,1711_NY_SC_VAC1,2017,11,NY,NY2,Late fall,LF
S1711_NY_SC_VAC1_barcode06,1711_NY3,barcode06,1711_NY_SC_VAC1,2017,11,NY,NY3,Late fall,LF
S1711_NY_SC_VAC1_barcode07,1711_SC1,barcode07,1711_NY_SC_VAC1,2017,11,SC,SC1,Late fall,LF
S1711_NY_SC_VAC1_barcode08,1711_SC2,barcode08,1711_NY_SC_VAC1,2017,11,SC,SC2,Late fall,LF
S1711_NY_SC_VAC1_barcode09,1711_SC3,barcode09,1711_NY_SC_VAC1,2017,11,SC,SC3,Late fall,LF
S1711_NY_SC_VAC1_barcode10,1711_VAC1,barcode10,1711_NY_SC_VAC1,2017,11,VA,C1,Late fall,LF
S1711_NY_SC_VAC1_barcode11,1711_VAC2,barcode11,1711_NY_SC_VAC1,2017,11,VA,C2,Late fall,LF
S1711_NY_SC_VAC1_barcode12,1711_VAC3,barcode12,1711_NY_SC_VAC1,2017,11,VA,C3,Late fall,LF
S1711_VAM_1806CA_IL_NY_barcode01,1711_VAM1,barcode01,1711_VAM_1806CA_IL_NY,2017,11,VA,M1,Late fall,LF
S1711_VAM_1806CA_IL_NY_barcode02,1711_VAM2,barcode02,1711_VAM_1806CA_IL_NY,2017,11,VA,M2,Late fall,LF
S1711_VAM_1806CA_IL_NY_barcode03,1711_VAM3,barcode03,1711_VAM_1806CA_IL_NY,2017,11,VA,M3,Late fall,LF
S1711_VAM_1806CA_IL_NY_barcode04,1806_CA1,barcode04,1711_VAM_1806CA_IL_NY,2018,6,CA,CA1,Early summer,ES
S1711_VAM_1806CA_IL_NY_barcode05,1806_CA2,barcode05,1711_VAM_1806CA_IL_NY,2018,6,CA,CA2,Early summer,ES
S1711_VAM_1806CA_IL_NY_barcode06,1806_CA3,barcode06,1711_VAM_1806CA_IL_NY,2018,6,CA,CA3,Early summer,ES
S1711_VAM_1806CA_IL_NY_barcode07,1806_IL1,barcode07,1711_VAM_1806CA_IL_NY,2018,6,IL,IL1,Early summer,ES
S1711_VAM_1806CA_IL_NY_barcode08,1806_IL2,barcode08,1711_VAM_1806CA_IL_NY,2018,6,IL,IL2,Early summer,ES
S1711_VAM_1806CA_IL_NY_barcode09,1806_IL3,barcode09,1711_VAM_1806CA_IL_NY,2018,6,IL,IL3,Early summer,ES
S1711_VAM_1806CA_IL_NY_barcode10,1806_NYNED,barcode10,1711_VAM_1806CA_IL_NY,2018,6,NY,NYNE,Early summer,ES
S1711_VAM_1806CA_IL_NY_barcode11,1806_NYNWD,barcode11,1711_VAM_1806CA_IL_NY,2018,6,NY,NYNW,Early summer,ES
S1711_VAM_1806CA_IL_NY_barcode12,1806_NYSED,barcode12,1711_VAM_1806CA_IL_NY,2018,6,NY,NYSE,Early summer,ES
S1806_NY_SC_VA_barcode01,1806_NY1,barcode01,1806_NY_SC_VA,2018,6,NY,NY1,Early summer,ES
S1806_NY_SC_VA_barcode02,1806_NY2,barcode02,1806_NY_SC_VA,2018,6,NY,NY2,Early summer,ES
S1806_NY_SC_VA_barcode03,1806_NY3,barcode03,1806_NY_SC_VA,2018,6,NY,NY3,Early summer,ES
S1806_NY_SC_VA_barcode04,1806_SC1,barcode04,1806_NY_SC_VA,2018,6,SC,SC1,Early summer,ES
S1806_NY_SC_VA_barcode05,1806_SC2,barcode05,1806_NY_SC_VA,2018,6,SC,SC2,Early summer,ES
S1806_NY_SC_VA_barcode06,1806_SC3,barcode06,1806_NY_SC_VA,2018,6,SC,SC3,Early summer,ES
S1806_NY_SC_VA_barcode07,1806_VAC1,barcode07,1806_NY_SC_VA,2018,6,VA,C1,Early summer,ES
S1806_NY_SC_VA_barcode08,1806_VAC2,barcode08,1806_NY_SC_VA,2018,6,VA,C2,Early summer,ES
S1806_NY_SC_VA_barcode09,1806_VAC3,barcode09,1806_NY_SC_VA,2018,6,VA,C3,Early summer,ES
S1806_NY_SC_VA_barcode10,1806_VAM1,barcode10,1806_NY_SC_VA,2018,6,VA,M1,Early summer,ES
S1806_NY_SC_VA_barcode11,1806_VAM2,barcode11,1806_NY_SC_VA,2018,6,VA,M2,Early summer,ES
S1806_NY_SC_VA_barcode12,1806_VAM3,barcode12,1806_NY_SC_VA,2018,6,VA,M3,Early summer,ES
S1811_CA_VA_IL_barcode01,1811_CA1,barcode01,1811_CA_VA_IL,2018,11,CA,CA1,Late fall,LF
S1811_CA_VA_IL_barcode02,1811_CA2,barcode02,1811_CA_VA_IL,2018,11,CA,CA2,Late fall,LF
S1811_CA_VA_IL_barcode03,1811_CA3,barcode03,1811_CA_VA_IL,2018,11,CA,CA3,Late fall,LF
S1811_CA_VA_IL_barcode04,1811_VAC1,barcode04,1811_CA_VA_IL,2018,11,VA,C1,Late fall,LF
S1811_CA_VA_IL_barcode05,1811_VAC2,barcode05,1811_CA_VA_IL,2018,11,VA,C2,Late fall,LF
S1811_CA_VA_IL_barcode06,1811_VAC3,barcode06,1811_CA_VA_IL,2018,11,VA,C3,Late fall,LF
S1811_CA_VA_IL_barcode07,1811_VAM1,barcode07,1811_CA_VA_IL,2018,11,VA,M1,Late fall,LF
S1811_CA_VA_IL_barcode08,1811_VAM2,barcode08,1811_CA_VA_IL,2018,11,VA,M2,Late fall,LF
S1811_CA_VA_IL_barcode09,1811_VAM3,barcode09,1811_CA_VA_IL,2018,11,VA,M3,Late fall,LF
S1811_CA_VA_IL_barcode10,1811_IL1,barcode10,1811_CA_VA_IL,2018,11,IL,IL1,Late fall,LF
S1811_CA_VA_IL_barcode11,1811_IL2,barcode11,1811_CA_VA_IL,2018,11,IL,IL2,Late fall,LF
S1811_CA_VA_IL_barcode12,1811_IL3,barcode12,1811_CA_VA_IL,2018,11,IL,IL3,Late fall,LF
S1811_SC_NY_1601_VA_barcode01,1811_SC1,barcode01,1811_SC_NY_1601_VA,2018,11,SC,SC1,Late fall,LF
S1811_SC_NY_1601_VA_barcode02,1811_SC2,barcode02,1811_SC_NY_1601_VA,2018,11,SC,SC2,Late fall,LF
S1811_SC_NY_1601_VA_barcode03,1811_SC3,barcode03,1811_SC_NY_1601_VA,2018,11,SC,SC3,Late fall,LF
S1811_SC_NY_1601_VA_barcode04,1811_NYNE1,barcode04,1811_SC_NY_1601_VA,2018,11,NY,NYNE,Late fall,LF
S1811_SC_NY_1601_VA_barcode05,1811_NYNW,barcode05,1811_SC_NY_1601_VA,2018,11,NY,NYNW,Late fall,LF
S1811_SC_NY_1601_VA_barcode06,1811_NYSE,barcode06,1811_SC_NY_1601_VA,2018,11,NY,NYSE,Late fall,LF
S1811_SC_NY_1601_VA_barcode07,1601_VAC1,barcode07,1811_SC_NY_1601_VA,2016,1,VA,C1,Winter,W
S1811_SC_NY_1601_VA_barcode08,1601_VAC2,barcode08,1811_SC_NY_1601_VA,2016,1,VA,C2,Winter,W
S1811_SC_NY_1601_VA_barcode09,1601_VAC3,barcode09,1811_SC_NY_1601_VA,2016,1,VA,C3,Winter,W
S1811_SC_NY_1601_VA_barcode10,1601_VAM1,barcode10,1811_SC_NY_1601_VA,2016,1,VA,M1,Winter,W
S1811_SC_NY_1601_VA_barcode11,1601_VAM2,barcode11,1811_SC_NY_1601_VA,2016,1,VA,M2,Winter,W
S1811_SC_NY_1601_VA_barcode12,1601_VAM3,barcode12,1811_SC_NY_1601_VA,2016,1,VA,M3,Winter,W
